Pictures,WITHOUT BG (EDITED),WITHOUT BG (NON EDITED),CATEGORY ,CATEGORY NAME,MEN/WOMEN/UNISEX,BRAND,NAME,PRICE,LINK,,Azure DB Img Id
,,,BAGS,TOTE BAG,WOMEN,Twenty dresses by nykaa fashion,Black your woven love bag,"₹2,395",https://www.nykaafashion.com/twenty-dresses-by-nykaa-fashion-black-your-woven-love-bag/p/3377958?utm_source=PDPShareWEB&utm_medium=PDPWEB&utm_campaign=PDPreferralWEB&utm_id=PDPShareBtnWEB,,
,,,SHOES ,LOAFERS ,WOMEN,ZARA,PATENT-FINISH LOAFERS,"₹ 2,990.00",https://www.zara.com/in/en/patent-finish-loafers-p12514330.html,,1
,,,ACCESSORIES ,Bracelet ,WOMEN,KATE SPADE,Stone-Studded Hinged Bangle,"₹3,990",https://www.luxe.ajio.com/kate-spade-stone-studded-hinged-bangle/p/410069593_911,,3
,,,,,,,,,,,
,,,,,,,,,,,
,,,WATCH,WATCH,MEN,SEIKO,THE GRAND SEIKO DIVER’S WATCH,"₹ 630,000.00",https://grandseikoboutique.in/products/sbga463g,,5
,,,SHOES,MULES,MEN,STEVE MADDEN,Khloe Genuine Leather Mules with Fur-Like Trims,"₹7,999",https://www.ajio.com/steve-madden-khloe-genuine-leather-mules-with-fur-like-trims/p/410138264_17,,7
,,,WATCH,WATCH,MEN,Strand By Obaku Bondi ,Dark Analog Black Dial Men's Watch,"8,450",https://www.amazon.in/Strand-Obaku-Bondi-Analog-Watch-S727GDBBSB/dp/B0BG238LFD,,
,,,SHOES,PUMPS,WOMEN,STEVE MADDEN,Klassyy Pointed-Toe Platform Stiletto Pumps,"₹10,999",https://www.ajio.com/steve-madden-klassyy-pointed-toe-platform-stiletto-pumps/p/410380435_18,,9
,,,SHOES,SNEAKERS,WOMEN,STEVE MADDEN,Low-Top Lace-Up Sneakers,"₹16,999",https://www.ajio.com/steve-madden-low-top-lace-up-sneakers/p/410338381_1,,11
,,,SHOES,HEELS,WOMEN,IYKYK by Nykaa Fashion,Pink Barbiecore Chunky Platform Block Heel,"₹3,999",https://www.nykaafashion.com/iykyk-by-nykaa-fashion-pink-barbiecore-chunky-platform-block-heel/p/8930208,,13
,,,CLOTHING,BLAZER,WOMEN,Marks & Spencer,Heathered Single-Breasted Blazer,"₹6,999",https://www.ajio.com/marks--spencer-heathered-single-breasted-blazer/p/469503909_darknavy,,
,,,SHOES,HEELS,WOMEN,STEVE MADDEN,Bethia Stiletto Heeled Sandals with Ankle-Loop,"₹6,999",https://www.ajio.com/steve-madden-bethia-stiletto-heeled-sandals-with-ankle-loop/p/410338975_567,,
,,,SHOES,HEELS,WOMEN,Lola Cruz,Rufec Pump,"₹29,699",https://www.nykaafashion.com/lola-cruz-rufec-pump/p/13375341?utm_source=PDPShareWEB&utm_medium=PDPWEB&utm_campaign=PDPreferralWEB&utm_id=PDPShareBtnWEB,,
,,,SHOES,HEELS,WOMEN,CHARLES & KEITH,Patent Metallic Accent Slingback Pumps - Black Patent,"₹8,799",https://www.charleskeith.in/in/CK1-60920349_BLKPAT-IN.html,,15
,,,SHOES,SNEAKERS,WOMEN,STEVE MADDEN,Possess Lace-Up Sneakers,"₹16,999",https://www.ajio.com/steve-madden-possess-lace-up-sneakers/p/410338381_2,,
,,,SHOES,BOOTS,MEN,ALDO,Men's CHESTERFIELD001 Black Chelsea Boots," ₹22,999",https://luxury.tatacliq.com/aldo-mens-chesterfield001-black-chelsea-boots/p-mp000000020059528,,17
,,,SHOES,SNEAKERS,MEN,Converse,Chuck Taylor All Star Sneakers," ₹4,299",https://www.myntra.com/casual-shoes/converse/converse-chuck-taylor-all-star-sneakers/23059422/buy,,
,,,CLOTHING,JEANS,MEN,SNITCH,EASYSTRIDE DARK BLUE COMFORT FIT JEANS,"Rs. 1,699",https://www.snitch.co.in/products/easystride-dark-blue-comfort-fit-jeans?variant=43908074700962,,
,,,CLOTHING,SHIRT,MEN,GAS,DARION NEO CAMOUFLAGE PRINT IN SHIRT,"₹ 4,999.00 
",https://www.gasjeans.in/8474439,,
,,,SHOES,BOOTS,MEN,ZARA,LACE-UP TRACK SOLE BOOTS,"₹ 5,990.00",https://www.zara.com/in/en/lace-up-track-sole-boots-p12006220.html,,19
,,,SHOES,SHOES,MEN,adidas,ADIFOM CLIMACOOL SHOES,"₹11,999.00",https://www.adidas.co.in/adifom-climacool-shoes/IF3904.html,,21
,,,SHOES,SNEAKERS ,MEN,ALTHEORY,Men Low-Top Lace-Up Sneakers,"₹2,699",https://www.ajio.com/altheory-men-low-top-lace-up-sneakers/p/450156916_black,,
,,,SHOES,SNEAKERS ,MEN,ZARA,MULTI-PIECE SNEAKERS,"₹ 2,890.00",https://www.zara.com/in/en/multi-piece-sneakers-p12205320.html,,
,,,SHOES,SNEAKERS,MEN,VEJA,Veja Mens V-10 B-Mesh Sneakers White/Grey - 9843650-UI,"Rs. 9,827",https://www.sneakersshopindia.com/veja-mens-v10-bmesh-sneakers-whitegrey-9843650ui-p-245.html,,23
,,,SHOES,SNEAKERS,MEN,VEJA,V-12 Lace up sneakers,"₹13,400",https://www.ajio.com/veja-v-12-lace-up-sneakers/p/469101353_white,,
,,,SHOES,SNEAKERS ,MEN,H&M,Trainers,"Rs. 1,999.00",https://www2.hm.com/en_in/productpage.0977197001.html,,
,,,SHOES,LOAFERS,MEN,FELLMONGER,Black Grain Penny Loafers,"₹ 9,749",https://fellmonger.in/products/black-grain-penny-loafers-fmbe0050,,25
,,,SHOES,HEELS,WOMEN,DIANA,Quilted Strap Heels,"Rs. 7,990",https://vanillamoon.in/products/diana-heel-sandals,,
,,,SHOES,HEELS,WOMEN,LITTLE BOX INDIA,Margot Vintage Platform,"Rs. 2,999.00",https://littleboxindia.com/collections/platforms/products/margot-vintage-platform-black,,27
,,,SHOES,HEELS,WOMEN,MANIERA,BEDAZZLE,"Rs. 6,400.00",https://maniera.in/products/bedazzle,,
,,,SHOES,HEELS,WOMEN,STEVE MADDEN,MELANIA,"11,999.00",https://www.stevemadden.in/product/melania-410380409007,,
,,,SHOES,HEELS,WOMEN,LULU&SKY,Quilted Khaki Pu Stiletto Sandals,"₹8,849",https://www.luluandsky.com/quilted-khaki-pu-stiletto-sandals.html,,
,,,CLOTHING ,TSHIRT ,MEN,ZEGNA ,BLACK COTTON T SHIRT ,"Rs 49,273",https://me.zegna.com/en-om/black-usetheexistingtm-short-sleeve-t-shirt-22383352.html,,
,,,CLOTHING ,CHINOS ,MEN,BOSS ,SLIM FIT CHINOS IN STRETCH COTTON GABARDIAN ,"Rs 13,194",https://www.hugoboss.com/us/slim-fit-chinos-in-stretch-cotton-gabardine/627918472516.html,,
,,,CLOTHING ,SHIRT ,MEN,ANDAMEN,CHECKED SLIM FIT SHIRT ,Rs 3672,https://www.ajio.com/andamen-checked-slim-fit-shirt/p/466638645004,,
,,, CLOTHING ,SHIRT,MEN.,LOUIS PHILLIPE ,SLIM FIT SPREAD COLLAR CASUAL SHIRT ,Rs 1505,https://dl.flipkart.com/s/1OMZTYNNNN,,
,,,CLOTHING ,SHIRT,MEN ,FRENCH CROWN ,MEN REGULAR FIT SOLID CASUAL SHIRT ,"Rs 1,997",https://dl.flipkart.com/s/1mV_7GNNNN,,
,,,CLOTHING ,T SHIRT ,MEN ,U.S.POLO.ASSN,MENS REGULAR FIT T SHIRT ,Rs 1609,https://amzn.in/d/9PGdUGO,,
,,,CLOTHING ,PANTS ,MEN ,KENZO,SWEATPANTS WITH LOGO,"Rs 31,936",https://www.vitkac.com/es/p/sweatpants-with-logo-kenzo-trousers-1685736,,
,,,CLOTHING ,PANTS ,MEN,COLORPLUS,MEN REGULAR FIT BLUE COTTON TROUSERS ,Rs 3349,https://dl.flipkart.com/s/WOn_pBNNNN,,
,,,CLOTHING ,T-SHIRT ,MEN ,PARX,MEN PINK SOLID POLO COLLAR T SHIRT ,"Rs 1,299",https://www.myntra.com/mailers/topwear/parx/parx-men-pink-solid-polo-collar-t-shirt/7079652/buy,,
,,,CLOTHING ,BLAZER ,MEN,VAN HEUSEN ,TEXTURED SLIM FIT SINGLE BREASTED  FORMAL BLAZER ,"Rs 7,999",https://www.myntra.com/mailers/topwear/van-heusen/van-heusen-textured-slim-fit-single-breasted-formal-blazer/26594412/buy,,
,,, CLOTHING ,DRESS ,WOMEN ,FRAM RIO,WOMEN CUT OUT MIDI DRESS ,rs 22093,https://www.saintbernard.com/products/farm-rio-womens-cut-out-midi-dress,,
,,,CLOTHING ,TOP,WOMEN ,GAANI,SPARKLE DEMIN TOP,"Rs 11,399",https://luxe.ajio.com/ganni-sparkle-denim-top/p/469452768_white,,
