Pictures,WITHOUT BG (EDITED),WITHOUT BG (NON EDITED),CATEGORY ,CATEGORY NAME,MEN/WOMEN/UNISEX,BRAND,NAME,PRICE,LINK,,Azure DB Img Id
,,,BAGS,TOTE BAG,WOMEN,BOTTEGA VENETA ,Candy Arco Tote Bag,₹199000,https://luxe.ajio.com/bottega-veneta-candy-arco-tote-bag/p/410365391_1283,,
,,,Shoes,LOAFERS ,WOMEN,GUCCI,Horsebit-detail leather loafers,"90,794.00",https://www.farfetch.com/in/shopping/women/gucci-horsebit-detail-leather-loafers-item-14344290.aspx,,
,,,Bracelet ,Bracelet ,WOMEN,cartier,"LOVE BRACELET, 10 DIAMONDS","INR 1,530,000",https://www.cartier.com/en-in/jewellery/bracelets/love-bracelet-10-diamonds-B6070417.html,,
,,,,,,,,,,,
,,,Clothing,hooded Jacket ,MEN,MONCLER,Maya zip-up padded hooded jacket,"2,04,958.22",https://www.farfetch.com/ca/shopping/men/moncler-maya-zip-up-padded-hooded-jacket-item-20903777.aspx,,
,,,WATCH,WATCH,MEN,Rolex,"SUBMARINER DATE Oyster, 41 mm, Oystersteel","₹898,500.00 INR",https://www.ethoswatches.com/rolex/product-m126610ln-0001,,
,,,SHOES,MULES,MEN,GUCCI,2015 RE-EDITION MEN'S PRINCETOWN,"90,794.00",https://www.gucci.com/us/en/pr/men/shoes-for-men/mules-for-men/2015-re-edition-mens-princetown-p-397647DKHH01063,,
,,,WATCH,WATCH,MEN,Rolex,Rolex Submariner Date Black PVD/DLC Coated Stainless Steel Watch 116610LN,"Rs.1,577,681",https://www.chrono24.in/rolex/submariner-date-black-pvddlc-coated-stainless-steel-watch-116610ln--id29424074.htm,,
,,,SHOES,PUMPS,WOMEN,Christian Louboutin ,So Kate 120 mm Pumps - Patent calf leather - Black - Women,"66,162.88",https://us.christianlouboutin.com/us_en/so-kate-black-3130694bk01.html,,
,,,SHOES,SNEAKERS ,WOMEN,Balenciaga,Triple S sneakers,"99,036.38",https://www.farfetch.com/in/shopping/women/balenciaga-triple-s-sneakers-item-16778666.aspx,,
,,,SHOES,HEELS,WOMEN,BY Far,Fuchsia Pink Brad Patent Leather Heels,"₹67,000",https://www.farfetch.com/za/shopping/women/by-far-brad-120mm-platform-sandals-item-20077527.aspx,,
,,,CLOTHING,BLAZER,WOMEN,TORY BURCH,Raw Denim Blazer,"₹59,500",https://luxe.ajio.com/tory-burch-raw-denim-blazer/p/410301547002,,
,,,SHOES,HEELS,WOMEN,Giuseppe Zanotti,Shot Rose Sandal,"₹118,399",https://www.farfetch.com/za/shopping/women/giuseppe-zanotti-intriigo-105mm-patent-sandals-item-22387848.aspx,,
,,,SHOES,HEELS,WOMEN,Giuseppe Zanotti,Argento Heel,"₹161,399",https://www.farfetch.com/in/shopping/women/giuseppe-zanotti-mahrtina-90mm-leather-sandals-item-20276592.aspx,,
,,,SHEOS,HEELS,WOMEN,Balenciaga,Square Knife Bb Sling Pump,"₹110,999",https://www.nykaafashion.com/balenciaga-square-knife-bb-sling-pump/p/10945274,,
,,,SHOES,sneakers ,WOMEN,Balenciaga,Triple S Monoblock Sneaker,"₹137,099",https://www.nykaafashion.com/balenciaga-triple-s-monoblock-sneaker/p/10945240,,
,,,SHOES,BOOTS,MEN,Balenciaga,Tractor Bootie L20,"₹130,899",https://www.nykaafashion.com/balenciaga-tractor-bootie-l20/p/9898478,,
,,,SHOES,SNEAKERS ,MEN,Balenciaga,Paris High Top,"₹93,499",https://www.nykaafashion.com/balenciaga-paris-high-top/p/9898447?utm_source=PDPShareWEB&utm_medium=PDPWEB&utm_campaign=PDPreferralWEB&utm_id=PDPShareBtnWEB,,
,,,CLOTHING,JEANS,MEN,OFF WHITE,Zip Skate Jeans,"₹98,299",https://www.nykaafashion.com/off-white-zip-skate-jeans/p/14043797?utm_source=PDPShareWEB&utm_medium=PDPWEB&utm_campaign=PDPreferralWEB&utm_id=PDPShareBtnWEB,,
,,,CLOTHING,SHIRT,MEN,PALM ANGELS ,All Over Laser Denim Shirt,"₹163,199",https://www.nykaafashion.com/palm-angels-all-over-laser-denim-shirt/p/14044324?utm_source=PDPShareWEB&utm_medium=PDPWEB&utm_campaign=PDPreferralWEB&utm_id=PDPShareBtnWEB,,
,,,SHOES,BOOTS,MEN,Balenciaga,Strike Bootie,"₹143,299",https://www.nykaafashion.com/balenciaga-strike-bootie/p/10945286,,
